tf.Tensor(13.10086, shape=(), dtype=float32)
tf.Tensor(13.070324, shape=(), dtype=float32)
tf.Tensor(13.034176, shape=(), dtype=float32)
tf.Tensor(13.012227, shape=(), dtype=float32)
tf.Tensor(13.030265, shape=(), dtype=float32)
tf.Tensor(12.999317, shape=(), dtype=float32)
tf.Tensor(12.945482, shape=(), dtype=float32)
tf.Tensor(12.925615, shape=(), dtype=float32)
tf.Tensor(12.93032, shape=(), dtype=float32)
tf.Tensor(12.8781, shape=(), dtype=float32)
tf.Tensor(12.892242, shape=(), dtype=float32)
tf.Tensor(12.873918, shape=(), dtype=float32)
tf.Tensor(12.826475, shape=(), dtype=float32)
tf.Tensor(12.839748, shape=(), dtype=float32)
tf.Tensor(12.784796, shape=(), dtype=float32)
tf.Tensor(12.770102, shape=(), dtype=float32)
tf.Tensor(12.760736, shape=(), dtype=float32)
tf.Tensor(12.753313, shape=(), dtype=float32)
tf.Tensor(12.71609, shape=(), dtype=float32)
tf.Tensor(12.708354, shape=(), dtype=float32)
tf.Tensor(12.693196, shape=(), dtype=float32)
tf.Tensor(12.650709, shape=(), dtype=float32)
tf.Tensor(12.662861, shape=(), dtype=float32)
tf.Tensor(12.630586, shape=(), dtype=float32)
tf.Tensor(12.611637, shape=(), dtype=float32)
tf.Tensor(12.579722, shape=(), dtype=float32)
tf.Tensor(12.566146, shape=(), dtype=float32)
tf.Tensor(12.538071, shape=(), dtype=float32)
tf.Tensor(12.526846, shape=(), dtype=float32)
tf.Tensor(12.497961, shape=(), dtype=float32)
tf.Tensor(12.508091, shape=(), dtype=float32)
tf.Tensor(12.482401, shape=(), dtype=float32)
tf.Tensor(12.444442, shape=(), dtype=float32)
tf.Tensor(12.431646, shape=(), dtype=float32)
tf.Tensor(12.410683, shape=(), dtype=float32)
tf.Tensor(12.408717, shape=(), dtype=float32)
tf.Tensor(12.37387, shape=(), dtype=float32)
tf.Tensor(12.394503, shape=(), dtype=float32)
tf.Tensor(12.352843, shape=(), dtype=float32)
tf.Tensor(12.312587, shape=(), dtype=float32)
tf.Tensor(12.297035, shape=(), dtype=float32)
tf.Tensor(12.283332, shape=(), dtype=float32)
tf.Tensor(12.28348, shape=(), dtype=float32)
tf.Tensor(12.257665, shape=(), dtype=float32)
tf.Tensor(12.252869, shape=(), dtype=float32)
tf.Tensor(12.230411, shape=(), dtype=float32)
tf.Tensor(12.205873, shape=(), dtype=float32)
tf.Tensor(12.182353, shape=(), dtype=float32)
tf.Tensor(12.165715, shape=(), dtype=float32)
tf.Tensor(12.172574, shape=(), dtype=float32)
tf.Tensor(12.138555, shape=(), dtype=float32)
tf.Tensor(12.136275, shape=(), dtype=float32)
tf.Tensor(12.128619, shape=(), dtype=float32)
tf.Tensor(12.094191, shape=(), dtype=float32)
tf.Tensor(12.089567, shape=(), dtype=float32)
tf.Tensor(12.080218, shape=(), dtype=float32)
tf.Tensor(12.059202, shape=(), dtype=float32)
tf.Tensor(12.065874, shape=(), dtype=float32)
tf.Tensor(12.0233, shape=(), dtype=float32)
tf.Tensor(12.010037, shape=(), dtype=float32)
tf.Tensor(12.000331, shape=(), dtype=float32)
tf.Tensor(11.968777, shape=(), dtype=float32)
tf.Tensor(11.9782505, shape=(), dtype=float32)
tf.Tensor(11.937954, shape=(), dtype=float32)
tf.Tensor(11.939885, shape=(), dtype=float32)
tf.Tensor(11.933092, shape=(), dtype=float32)
tf.Tensor(11.900519, shape=(), dtype=float32)
tf.Tensor(11.873699, shape=(), dtype=float32)
tf.Tensor(11.877124, shape=(), dtype=float32)
tf.Tensor(11.850797, shape=(), dtype=float32)
tf.Tensor(11.86464, shape=(), dtype=float32)
tf.Tensor(11.84217, shape=(), dtype=float32)
tf.Tensor(11.817224, shape=(), dtype=float32)
tf.Tensor(11.802263, shape=(), dtype=float32)
tf.Tensor(11.786367, shape=(), dtype=float32)
tf.Tensor(11.783915, shape=(), dtype=float32)
tf.Tensor(11.760341, shape=(), dtype=float32)
tf.Tensor(11.743875, shape=(), dtype=float32)
tf.Tensor(11.733385, shape=(), dtype=float32)
tf.Tensor(11.71916, shape=(), dtype=float32)
tf.Tensor(11.720938, shape=(), dtype=float32)
tf.Tensor(11.680013, shape=(), dtype=float32)
tf.Tensor(11.678705, shape=(), dtype=float32)
